movieId,title,genres,genres_clean,content_features,sentiment_score,sentiment_label
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,Adventure Animation Children Comedy Fantasy,Toy Story (1995) Adventure Animation Children Comedy Fantasy,0.0,neutral
2,Jumanji (1995),Adventure|Children|Fantasy,Adventure Children Fantasy,Jumanji (1995) Adventure Children Fantasy,0.0,neutral
3,Grumpier Old Men (1995),Comedy|Romance,Comedy Romance,Grumpier Old Men (1995) Comedy Romance,0.0,neutral
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Comedy Drama Romance,Waiting to Exhale (1995) Comedy Drama Romance,0.0,neutral
5,Father of the Bride Part II (1995),Comedy,Comedy,Father of the Bride Part II (1995) Comedy,0.0,neutral
6,Heat (1995),Action|Crime|Thriller,Action Crime Thriller,Heat (1995) Action Crime Thriller,0.0,neutral
7,Sabrina (1995),Comedy|Romance,Comedy Romance,Sabrina (1995) Comedy Romance,0.0,neutral
8,Tom and Huck (1995),Adventure|Children,Adventure Children,Tom and Huck (1995) Adventure Children,0.0,neutral
9,Sudden Death (1995),Action,Action,Sudden Death (1995) Action,-0.5994,negative
10,GoldenEye (1995),Action|Adventure|Thriller,Action Adventure Thriller,GoldenEye (1995) Action Adventure Thriller,0.0,neutral
11,"American President, The (1995)",Comedy|Drama|Romance,Comedy Drama Romance,"American President, The (1995) Comedy Drama Romance",0.0,neutral
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Comedy Horror,Dracula: Dead and Loving It (1995) Comedy Horror,-0.1027,negative
13,Balto (1995),Adventure|Animation|Children,Adventure Animation Children,Balto (1995) Adventure Animation Children,0.0,neutral
14,Nixon (1995),Drama,Drama,Nixon (1995) Drama,0.0,neutral
15,Cutthroat Island (1995),Action|Adventure|Romance,Action Adventure Romance,Cutthroat Island (1995) Action Adventure Romance,0.0,neutral
16,Casino (1995),Crime|Drama,Crime Drama,Casino (1995) Crime Drama,0.0,neutral
17,Sense and Sensibility (1995),Drama|Romance,Drama Romance,Sense and Sensibility (1995) Drama Romance,0.0,neutral
18,Four Rooms (1995),Comedy,Comedy,Four Rooms (1995) Comedy,0.0,neutral
19,Ace Ventura: When Nature Calls (1995),Comedy,Comedy,Ace Ventura: When Nature Calls (1995) Comedy,0.0,neutral
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Action Comedy Crime Drama Thriller,Money Train (1995) Action Comedy Crime Drama Thriller,0.0,neutral
21,Get Shorty (1995),Comedy|Crime|Thriller,Comedy Crime Thriller,Get Shorty (1995) Comedy Crime Thriller,0.0,neutral
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Crime Drama Horror Mystery Thriller,Copycat (1995) Crime Drama Horror Mystery Thriller,0.0,neutral
23,Assassins (1995),Action|Crime|Thriller,Action Crime Thriller,Assassins (1995) Action Crime Thriller,0.0,neutral
24,Powder (1995),Drama|Sci-Fi,Drama Sci-Fi,Powder (1995) Drama Sci-Fi,0.0,neutral
25,Leaving Las Vegas (1995),Drama|Romance,Drama Romance,Leaving Las Vegas (1995) Drama Romance,0.0,neutral
26,Othello (1995),Drama,Drama,Othello (1995) Drama,0.0,neutral
27,Now and Then (1995),Children|Drama,Children Drama,Now and Then (1995) Children Drama,0.0,neutral
28,Persuasion (1995),Drama|Romance,Drama Romance,Persuasion (1995) Drama Romance,0.0,neutral
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,Adventure Drama Fantasy Mystery Sci-Fi,"City of Lost Children, The (Cité des enfants perdus, La) (1995) Adventure Drama Fantasy Mystery Sci-Fi",-0.3182,negative
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Crime Drama,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995) Crime Drama,0.0,neutral
31,Dangerous Minds (1995),Drama,Drama,Dangerous Minds (1995) Drama,-0.4767,negative
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Mystery Sci-Fi Thriller,Twelve Monkeys (a.k.a. 12 Monkeys) (1995) Mystery Sci-Fi Thriller,0.0,neutral
34,Babe (1995),Children|Drama,Children Drama,Babe (1995) Children Drama,0.0,neutral
36,Dead Man Walking (1995),Crime|Drama,Crime Drama,Dead Man Walking (1995) Crime Drama,-0.6486,negative
38,It Takes Two (1995),Children|Comedy,Children Comedy,It Takes Two (1995) Children Comedy,0.0,neutral
39,Clueless (1995),Comedy|Romance,Comedy Romance,Clueless (1995) Comedy Romance,-0.3612,negative
40,"Cry, the Beloved Country (1995)",Drama,Drama,"Cry, the Beloved Country (1995) Drama",0.0516,positive
41,Richard III (1995),Drama|War,Drama War,Richard III (1995) Drama War,0.0,neutral
42,Dead Presidents (1995),Action|Crime|Drama,Action Crime Drama,Dead Presidents (1995) Action Crime Drama,-0.6486,negative
43,Restoration (1995),Drama,Drama,Restoration (1995) Drama,0.0,neutral
44,Mortal Kombat (1995),Action|Adventure|Fantasy,Action Adventure Fantasy,Mortal Kombat (1995) Action Adventure Fantasy,0.0,neutral
45,To Die For (1995),Comedy|Drama|Thriller,Comedy Drama Thriller,To Die For (1995) Comedy Drama Thriller,-0.5994,negative
46,How to Make an American Quilt (1995),Drama|Romance,Drama Romance,How to Make an American Quilt (1995) Drama Romance,0.0,neutral
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,Mystery Thriller,Seven (a.k.a. Se7en) (1995) Mystery Thriller,0.0,neutral
48,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,Animation Children Drama Musical Romance,Pocahontas (1995) Animation Children Drama Musical Romance,0.0,neutral
49,When Night Is Falling (1995),Drama|Romance,Drama Romance,When Night Is Falling (1995) Drama Romance,-0.1531,negative
50,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,Crime Mystery Thriller,"Usual Suspects, The (1995) Crime Mystery Thriller",-0.34,negative
52,Mighty Aphrodite (1995),Comedy|Drama|Romance,Comedy Drama Romance,Mighty Aphrodite (1995) Comedy Drama Romance,0.0,neutral
53,Lamerica (1994),Adventure|Drama,Adventure Drama,Lamerica (1994) Adventure Drama,0.0,neutral
54,"Big Green, The (1995)",Children|Comedy,Children Comedy,"Big Green, The (1995) Children Comedy",0.0,neutral
55,Georgia (1995),Drama,Drama,Georgia (1995) Drama,0.0,neutral
57,Home for the Holidays (1995),Drama,Drama,Home for the Holidays (1995) Drama,0.3818,positive
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,Comedy Drama Romance,"Postman, The (Postino, Il) (1994) Comedy Drama Romance",0.0,neutral
60,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,Adventure Children Fantasy,"Indian in the Cupboard, The (1995) Adventure Children Fantasy",0.0,neutral
61,Eye for an Eye (1996),Drama|Thriller,Drama Thriller,Eye for an Eye (1996) Drama Thriller,0.0,neutral
62,Mr. Holland's Opus (1995),Drama,Drama,Mr. Holland's Opus (1995) Drama,0.0,neutral
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Comedy Crime,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996) Comedy Crime,0.3875,positive
64,Two if by Sea (1996),Comedy|Romance,Comedy Romance,Two if by Sea (1996) Comedy Romance,0.0,neutral
65,Bio-Dome (1996),Comedy,Comedy,Bio-Dome (1996) Comedy,0.0,neutral
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Action Sci-Fi Thriller,Lawnmower Man 2: Beyond Cyberspace (1996) Action Sci-Fi Thriller,0.0,neutral
68,French Twist (Gazon maudit) (1995),Comedy|Romance,Comedy Romance,French Twist (Gazon maudit) (1995) Comedy Romance,0.0,neutral
69,Friday (1995),Comedy,Comedy,Friday (1995) Comedy,0.0,neutral
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Action Comedy Horror Thriller,From Dusk Till Dawn (1996) Action Comedy Horror Thriller,0.0,neutral
71,Fair Game (1995),Action,Action,Fair Game (1995) Action,0.3182,positive
72,Kicking and Screaming (1995),Comedy|Drama,Comedy Drama,Kicking and Screaming (1995) Comedy Drama,-0.3818,negative
73,"Misérables, Les (1995)",Drama|War,Drama War,"Misérables, Les (1995) Drama War",0.0,neutral
74,Bed of Roses (1996),Drama|Romance,Drama Romance,Bed of Roses (1996) Drama Romance,0.0,neutral
75,Big Bully (1996),Comedy|Drama,Comedy Drama,Big Bully (1996) Comedy Drama,-0.4939,negative
76,Screamers (1995),Action|Sci-Fi|Thriller,Action Sci-Fi Thriller,Screamers (1995) Action Sci-Fi Thriller,-0.3612,negative
77,Nico Icon (1995),Documentary,Documentary,Nico Icon (1995) Documentary,0.0,neutral
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Action Crime Drama Thriller,"Crossing Guard, The (1995) Action Crime Drama Thriller",0.0,neutral
79,"Juror, The (1996)",Drama|Thriller,Drama Thriller,"Juror, The (1996) Drama Thriller",0.0,neutral
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,Children Drama,"White Balloon, The (Badkonake sefid) (1995) Children Drama",0.0,neutral
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Crime Drama Romance,Things to Do in Denver When You're Dead (1995) Crime Drama Romance,-0.6486,negative
82,Antonia's Line (Antonia) (1995),Comedy|Drama,Comedy Drama,Antonia's Line (Antonia) (1995) Comedy Drama,0.0,neutral
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Drama Romance,Once Upon a Time... When We Were Colored (1995) Drama Romance,0.0,neutral
85,Angels and Insects (1995),Drama|Romance,Drama Romance,Angels and Insects (1995) Drama Romance,0.0,neutral
86,White Squall (1996),Action|Adventure|Drama,Action Adventure Drama,White Squall (1996) Action Adventure Drama,0.0,neutral
87,Dunston Checks In (1996),Children|Comedy,Children Comedy,Dunston Checks In (1996) Children Comedy,0.0,neutral
88,Black Sheep (1996),Comedy,Comedy,Black Sheep (1996) Comedy,0.0,neutral
89,Nick of Time (1995),Action|Thriller,Action Thriller,Nick of Time (1995) Action Thriller,0.0,neutral
92,Mary Reilly (1996),Drama|Horror|Thriller,Drama Horror Thriller,Mary Reilly (1996) Drama Horror Thriller,0.0,neutral
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Comedy Horror Romance,Vampire in Brooklyn (1995) Comedy Horror Romance,0.0,neutral
94,Beautiful Girls (1996),Comedy|Drama|Romance,Comedy Drama Romance,Beautiful Girls (1996) Comedy Drama Romance,0.5994,positive
95,Broken Arrow (1996),Action|Adventure|Thriller,Action Adventure Thriller,Broken Arrow (1996) Action Adventure Thriller,-0.4767,negative
96,In the Bleak Midwinter (1995),Comedy|Drama,Comedy Drama,In the Bleak Midwinter (1995) Comedy Drama,0.0,neutral
97,"Hate (Haine, La) (1995)",Crime|Drama,Crime Drama,"Hate (Haine, La) (1995) Crime Drama",-0.5719,negative
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Documentary,Heidi Fleiss: Hollywood Madam (1995) Documentary,0.0,neutral
100,City Hall (1996),Drama|Thriller,Drama Thriller,City Hall (1996) Drama Thriller,0.0,neutral
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Adventure Comedy Crime Romance,Bottle Rocket (1996) Adventure Comedy Crime Romance,0.0,neutral
102,Mr. Wrong (1996),Comedy,Comedy,Mr. Wrong (1996) Comedy,-0.4767,negative
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,Mystery Sci-Fi Thriller,Unforgettable (1996) Mystery Sci-Fi Thriller,0.0,neutral
104,Happy Gilmore (1996),Comedy,Comedy,Happy Gilmore (1996) Comedy,0.5719,positive
105,"Bridges of Madison County, The (1995)",Drama|Romance,Drama Romance,"Bridges of Madison County, The (1995) Drama Romance",0.0,neutral
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Comedy Drama,Nobody Loves Me (Keiner liebt mich) (1994) Comedy Drama,0.5719,positive
